,Cst_Cnt,Cast_ID,Quarter,Date,Year,Month,Lat_Dec,Lon_Dec,Sta_ID,St_Line,Distance
29520,29521,20-0007NM-MX-192-1036-08180469,3,07/10/2000,2000,7,34.273333,-120.03,081.8 046.9,81.8,-14.17
29521,29522,20-0007NM-MX-192-1511-08000510,3,07/10/2000,2000,7,34.448333,-120.525,080.0 051.0,80.0,-2.67
29522,29523,20-0007NM-PR-192-1830-08000550,3,07/10/2000,2000,7,34.315,-120.805,080.0 055.0,80.0,-18.64
29523,29524,20-0007NM-MX-192-2243-08000600,3,07/10/2000,2000,7,34.156665999999994,-121.15,080.0 060.0,80.0,-38.22
29524,29525,20-0007NM-MX-193-0532-08000700,3,07/11/2000,2000,7,33.818333,-121.84166599999999,080.0 070.0,80.0,-78.16
29525,29526,20-0007NM-MX-193-1128-08000800,3,07/11/2000,2000,7,33.483333,-122.54166599999999,080.0 080.0,80.0,-118.49
29526,29527,20-0007NM-PR-193-1733-08000900,3,07/11/2000,2000,7,33.156665999999994,-123.225,080.0 090.0,80.0,-157.97
29527,29528,20-0007NM-MX-193-2317-08001000,3,07/11/2000,2000,7,32.818333,-123.90833300000001,080.0 100.0,80.0,-197.91
29528,29529,20-0007NM-MX-194-0520-07671000,3,07/12/2000,2000,7,33.386666,-124.32666599999999,076.7 100.0,76.7,-209.87
29529,29530,20-0007NM-MX-194-1118-07670900,3,07/12/2000,2000,7,33.723333000000004,-123.63666599999999,076.7 090.0,76.7,-169.89
29530,29531,20-0007NM-PR-194-1724-07670800,3,07/12/2000,2000,7,34.065,-122.93666599999999,076.7 080.0,76.7,-129.44
29531,29532,20-0007NM-MX-195-0009-07670700,3,07/13/2000,2000,7,34.39,-122.25,076.7 070.0,76.7,-90.19
29532,29533,20-0007NM-MX-195-0614-07670600,3,07/13/2000,2000,7,34.723333000000004,-121.55333300000001,076.7 060.0,76.7,-50.38
29533,29534,20-0007NM-MX-195-1032-07670550,3,07/13/2000,2000,7,34.891666,-121.2,076.7 055.0,76.7,-30.26
29534,29535,20-0007NM-MX-195-1415-07670510,3,07/13/2000,2000,7,35.025,-120.92333300000001,076.7 051.0,76.7,-14.48
29535,29536,20-0007NM-MX-195-1650-07670490,3,07/13/2000,2000,7,35.091666,-120.78166599999999,076.7 049.0,76.7,-6.46
29536,29537,20-0010NM-PR-286-1825-09330267,4,10/12/2000,2000,10,32.956666,-117.305,093.3 026.7,93.3,-1.95
29537,29538,20-0010NM-MX-286-2317-09330280,4,10/12/2000,2000,10,32.908333,-117.39833300000001,093.3 028.0,93.3,-7.16
29538,29539,20-0010NM-MX-287-0234-09330300,4,10/13/2000,2000,10,32.838333,-117.535,093.3 030.0,93.3,-15.18
