,Cst_Cnt,Cast_ID,Quarter,Date,Year,Month,Lat_Dec,Lon_Dec,Sta_ID
29484,29485,20-0007NM-MX-184-1320-09331200,3,07/02/2000,2000,7,29.85,-123.588333,093.3 120.0
29485,29486,20-0007NM-PR-184-1915-09001200,3,07/02/2000,2000,7,30.42,-124.008333,090.0 120.0
29486,29487,20-0007NM-MX-185-0142-09001100,3,07/03/2000,2000,7,30.751666,-123.34,090.0 110.0
29487,29488,20-0007NM-MX-185-0820-09001000,3,07/03/2000,2000,7,31.091666,-122.671666,090.0 100.0
29488,29489,20-0007NM-PR-185-1730-09000900,3,07/03/2000,2000,7,31.415,-121.998333,090.0 090.0
29489,29490,20-0007NM-MX-185-2243-09000800,3,07/03/2000,2000,7,31.755,-121.316666,090.0 080.0
29490,29491,20-0007NM-MX-186-0533-09000700,3,07/04/2000,2000,7,32.081666,-120.648333,090.0 070.0
29491,29492,20-0007NM-MX-186-1337-09000600,3,07/04/2000,2000,7,32.415,-119.963333,090.0 060.0
29492,29493,20-0007NM-PR-186-1848-09000530,3,07/04/2000,2000,7,32.655,-119.491666,090.0 053.0
29493,29494,20-0007NM-MX-187-0020-09000450,3,07/05/2000,2000,7,32.916666,-118.938333,090.0 045.0
29494,29495,20-0007NM-MX-187-0541-09000370,3,07/05/2000,2000,7,33.185,-118.39,090.0 037.0
29495,29496,20-0007NM-MX-187-0845-09000350,3,07/05/2000,2000,7,33.251666,-118.256666,090.0 035.0
29496,29497,20-0007NM-MX-187-1300-09000300,3,07/05/2000,2000,7,33.421666,-117.906666,090.0 030.0
29497,29498,20-0007NM-PR-187-1742-09000280,3,07/05/2000,2000,7,33.483333,-117.77,090.0 028.0
29498,29499,20-0007NM-MX-187-2307-08670330,3,07/05/2000,2000,7,33.89,-118.493333,086.7 033.0
29499,29500,20-0007NM-MX-188-0105-08670350,3,07/06/2000,2000,7,33.82,-118.63,086.7 035.0
29500,29501,20-0007NM-MX-188-0454-08670400,3,07/06/2000,2000,7,33.648333,-118.978333,086.7 040.0
29501,29502,20-0007NM-MX-188-0848-08670450,3,07/06/2000,2000,7,33.485,-119.336666,086.7 045.0
29502,29503,20-0007NM-MX-188-1256-08670500,3,07/06/2000,2000,7,33.318333,-119.67,086.7 050.0
29503,29504,20-0007NM-PR-188-1737-08670550,3,07/06/2000,2000,7,33.143333,-120.028333,086.7 055.0
29504,29505,20-0007NM-MX-188-2046-08670600,3,07/06/2000,2000,7,32.988333,-120.363333,086.7 060.0
29505,29506,20-0007NM-MX-189-0218-08670700,3,07/07/2000,2000,7,32.653333,-121.038333,086.7 070.0
29506,29507,20-0007NM-MX-189-0747-08670800,3,07/07/2000,2000,7,32.325,-121.723333,086.7 080.0
29507,29508,20-0007NM-MX-189-1330-08670900,3,07/07/2000,2000,7,31.988333,-122.395,086.7 090.0
29508,29509,20-0007NM-PR-189-1914-08671000,3,07/07/2000,2000,7,31.658333,-123.078333,086.7 100.0
29509,29510,20-0007NM-MX-190-0040-08671100,3,07/08/2000,2000,7,31.323333,-123.745,086.7 110.0
29510,29511,20-0007NM-MX-190-0644-08331100,3,07/08/2000,2000,7,31.913333,-124.175,083.3 110.0
29511,29512,20-0007NM-MX-190-1237-08331000,3,07/08/2000,2000,7,32.248333,-123.49,083.3 100.0
29512,29513,20-0007NM-PR-190-1822-08330900,3,07/08/2000,2000,7,32.581666,-122.815,083.3 090.0
29513,29514,20-0007NM-MX-191-0022-08330800,3,07/09/2000,2000,7,32.915,-122.13,083.3 080.0
29514,29515,20-0007NM-MX-191-0643-08330700,3,07/09/2000,2000,7,33.243333,-121.446666,083.3 070.0
29515,29516,20-0007NM-MX-191-1253-08330600,3,07/09/2000,2000,7,33.576666,-120.763333,083.3 060.0
29516,29517,20-0007NM-PR-191-1819-08330550,3,07/09/2000,2000,7,33.746666,-120.413333,083.3 055.0
29517,29518,20-0007NM-MX-191-2051-08330510,3,07/09/2000,2000,7,33.878333,-120.141666,083.3 051.0
29518,29519,20-0007NM-MX-192-0340-08330420,3,07/10/2000,2000,7,34.18,-119.526666,083.3 042.0
29519,29520,20-0007NM-MX-192-0619-08330406,3,07/10/2000,2000,7,34.22,-119.411666,083.3 040.6
29520,29521,20-0007NM-MX-192-1036-08180469,3,07/10/2000,2000,7,34.273333,-120.03,081.8 046.9
29521,29522,20-0007NM-MX-192-1511-08000510,3,07/10/2000,2000,7,34.448333,-120.525,080.0 051.0
29522,29523,20-0007NM-PR-192-1830-08000550,3,07/10/2000,2000,7,34.315,-120.805,080.0 055.0
29523,29524,20-0007NM-MX-192-2243-08000600,3,07/10/2000,2000,7,34.156666,-121.15,080.0 060.0
29524,29525,20-0007NM-MX-193-0532-08000700,3,07/11/2000,2000,7,33.818333,-121.841666,080.0 070.0
29525,29526,20-0007NM-MX-193-1128-08000800,3,07/11/2000,2000,7,33.483333,-122.541666,080.0 080.0
29526,29527,20-0007NM-PR-193-1733-08000900,3,07/11/2000,2000,7,33.156666,-123.225,080.0 090.0
29527,29528,20-0007NM-MX-193-2317-08001000,3,07/11/2000,2000,7,32.818333,-123.908333,080.0 100.0
29528,29529,20-0007NM-MX-194-0520-07671000,3,07/12/2000,2000,7,33.386666,-124.326666,076.7 100.0
29529,29530,20-0007NM-MX-194-1118-07670900,3,07/12/2000,2000,7,33.723333,-123.636666,076.7 090.0
29530,29531,20-0007NM-PR-194-1724-07670800,3,07/12/2000,2000,7,34.065,-122.936666,076.7 080.0
29531,29532,20-0007NM-MX-195-0009-07670700,3,07/13/2000,2000,7,34.39,-122.25,076.7 070.0
29532,29533,20-0007NM-MX-195-0614-07670600,3,07/13/2000,2000,7,34.723333,-121.553333,076.7 060.0
29533,29534,20-0007NM-MX-195-1032-07670550,3,07/13/2000,2000,7,34.891666,-121.2,076.7 055.0
29534,29535,20-0007NM-MX-195-1415-07670510,3,07/13/2000,2000,7,35.025,-120.923333,076.7 051.0
29535,29536,20-0007NM-MX-195-1650-07670490,3,07/13/2000,2000,7,35.091666,-120.781666,076.7 049.0
29536,29537,20-0010NM-PR-286-1825-09330267,4,10/12/2000,2000,10,32.956666,-117.305,093.3 026.7
29537,29538,20-0010NM-MX-286-2317-09330280,4,10/12/2000,2000,10,32.908333,-117.398333,093.3 028.0
29538,29539,20-0010NM-MX-287-0234-09330300,4,10/13/2000,2000,10,32.838333,-117.535,093.3 030.0
29539,29540,20-0010NM-PR-287-1734-09330350,4,10/13/2000,2000,10,32.68,-117.88,093.3 035.0
29540,29541,20-0010NM-MX-287-2049-09330400,4,10/13/2000,2000,10,32.511666,-118.216666,093.3 040.0
29541,29542,20-0010NM-MX-288-0129-09330450,4,10/14/2000,2000,10,32.34,-118.558333,093.3 045.0
29542,29543,20-0010NM-MX-288-0513-09330500,4,10/14/2000,2000,10,32.181666,-118.891666,093.3 050.0
29543,29544,20-0010NM-MX-288-0913-09330550,4,10/14/2000,2000,10,32.008333,-119.238333,093.3 055.0
29544,29545,20-0010NM-PR-288-1846-09330600,4,10/14/2000,2000,10,31.845,-119.576666,093.3 060.0
29545,29546,20-0010NM-MX-288-2352-09330700,4,10/14/2000,2000,10,31.516666,-120.245,093.3 070.0
29546,29547,20-0010NM-MX-289-0555-09330800,4,10/15/2000,2000,10,31.185,-120.926666,093.3 080.0
29547,29548,20-0010NM-MX-289-1152-09330900,4,10/15/2000,2000,10,30.843333,-121.596666,093.3 090.0
29548,29549,20-0010NM-PR-289-1749-09331000,4,10/15/2000,2000,10,30.516666,-122.261666,093.3 100.0
29549,29550,20-0010NM-MX-289-2349-09331100,4,10/15/2000,2000,10,30.178333,-122.926666,093.3 110.0
29550,29551,20-0010NM-MX-290-0528-09331200,4,10/16/2000,2000,10,29.848333,-123.588333,093.3 120.0
29551,29552,20-0010NM-MX-290-1142-09001200,4,10/16/2000,2000,10,30.42,-123.998333,090.0 120.0
29552,29553,20-0010NM-PR-290-1746-09001100,4,10/16/2000,2000,10,30.751666,-123.33,090.0 110.0
29553,29554,20-0010NM-MX-290-2342-09001000,4,10/16/2000,2000,10,31.086666,-122.66,090.0 100.0
29554,29555,20-0010NM-MX-291-0525-09000900,4,10/17/2000,2000,10,31.418333,-121.99,090.0 090.0
29555,29556,20-0010NM-MX-291-1107-09000800,4,10/17/2000,2000,10,31.755,-121.311666,090.0 080.0
29556,29557,20-0010NM-PR-291-1812-09000700,4,10/17/2000,2000,10,32.086666,-120.631666,090.0 070.0
29557,29558,20-0010NM-MX-292-0435-09000600,4,10/18/2000,2000,10,32.42,-119.96,090.0 060.0
29558,29559,20-0010NM-MX-292-0927-09000530,4,10/18/2000,2000,10,32.653333,-119.485,090.0 053.0
29559,29560,20-0010NM-PR-292-1734-09000450,4,10/18/2000,2000,10,32.92,-118.94,090.0 045.0
29560,29561,20-0010NM-MX-293-0200-09000370,4,10/19/2000,2000,10,33.181666,-118.386666,090.0 037.0
29561,29562,20-0010NM-MX-293-0449-09000350,4,10/19/2000,2000,10,33.253333,-118.248333,090.0 035.0
29562,29563,20-0010NM-MX-293-0841-09000300,4,10/19/2000,2000,10,33.418333,-117.905,090.0 030.0
29563,29564,20-0010NM-PR-293-1830-09000280,4,10/19/2000,2000,10,33.483333,-117.766666,090.0 028.0
29564,29565,20-0010NM-MX-293-2351-08670330,4,10/19/2000,2000,10,33.886666,-118.496666,086.7 033.0
29565,29566,20-0010NM-MX-294-0155-08670350,4,10/20/2000,2000,10,33.825,-118.635,086.7 035.0
29566,29567,20-0010NM-MX-294-0855-08670400,4,10/20/2000,2000,10,33.655,-118.978333,086.7 040.0
29567,29568,20-0010NM-MX-294-1314-08670450,4,10/20/2000,2000,10,33.498333,-119.32,086.7 045.0
29568,29569,20-0010NM-PR-294-1825-08670500,4,10/20/2000,2000,10,33.323333,-119.663333,086.7 050.0
29569,29570,20-0010NM-MX-294-2113-08670550,4,10/20/2000,2000,10,33.158333,-120.008333,086.7 055.0
29570,29571,20-0010NM-MX-295-0131-08670600,4,10/21/2000,2000,10,32.986666,-120.356666,086.7 060.0
29571,29572,20-0010NM-MX-295-0709-08670700,4,10/21/2000,2000,10,32.653333,-121.04,086.7 070.0
29572,29573,20-0010NM-PR-295-1828-08670800,4,10/21/2000,2000,10,32.32,-121.721666,086.7 080.0
29573,29574,20-0010NM-MX-297-0234-08670900,4,10/23/2000,2000,10,31.996666,-122.395,086.7 090.0
29574,29575,20-0010NM-MX-297-0833-08671000,4,10/23/2000,2000,10,31.655,-123.071666,086.7 100.0
29575,29576,20-0010NM-PR-297-1749-08671100,4,10/23/2000,2000,10,31.325,-123.745,086.7 110.0
